customer_id,campaign_id,channel_type,touchpoint_id,interaction_timestamp,consumer_stage,session_duration_sec,clicks,impressions,engagement_score,sentiment_score,content_embedding_1,content_embedding_2,device_type,prior_purchase_count,customer_lifetime_value,marketing_cost,conversion_flag,conversion_value,attribution_weight,cross_channel_influence,perceived_value_score,roi,effectiveness_score
C103,CMP12,Web,TP001,2024-05-07 03:51:00,Retention,429,8,31,0.58,-0.17,0.017,0.993,Tablet,1,1542.37,9.26,0,0.0,0.25,0.82,0.86,-1.0,0.05
C436,CMP03,Email,TP002,2024-04-22 17:49:00,Retention,557,3,68,0.09,0.78,0.789,0.91,Tablet,4,968.82,8.94,0,0.0,0.57,0.28,0.48,-1.0,0.07
C349,CMP13,Social,TP003,2024-05-19 08:17:00,Consideration,1071,8,37,0.49,-0.27,0.295,0.492,Desktop,10,970.74,5.31,1,337.74,0.61,0.71,0.91,83.52,0.66
C271,CMP18,Email,TP004,2024-03-22 01:20:00,Awareness,165,1,24,0.62,0.72,0.452,0.487,Tablet,9,4306.16,5.19,1,61.25,0.57,0.83,0.64,82.11,0.95
C107,CMP08,Email,TP005,2024-06-08 11:38:00,Awareness,788,10,44,0.07,-0.38,0.536,0.628,Tablet,5,4377.27,8.22,1,173.76,0.08,0.37,0.29,22.46,1.0
C072,CMP15,Mobile,TP006,2024-04-16 06:28:00,Awareness,872,4,83,0.21,0.06,0.992,0.111,Mobile,1,2379.21,1.82,0,0.0,0.67,0.7,0.47,-1.0,0.99
C189,CMP01,Web,TP007,2024-04-23 20:16:00,Retention,739,10,41,0.34,-0.71,0.099,0.608,Tablet,0,607.75,6.71,1,150.44,0.38,0.44,0.53,32.5,0.35
C021,CMP03,Email,TP008,2024-05-19 18:08:00,Awareness,1054,1,179,0.37,0.65,0.555,0.464,Desktop,8,4432.41,5.02,0,0.0,0.88,0.99,0.82,-1.0,0.24
C103,CMP08,In-Store,TP009,2024-06-03 13:48:00,Awareness,410,10,42,0.68,0.47,0.531,0.643,Tablet,6,2486.38,7.56,0,0.0,0.53,0.01,0.86,-1.0,0.1
C122,CMP04,In-Store,TP010,2024-06-09 01:51:00,Retention,538,0,108,0.53,0.06,0.069,0.565,Mobile,7,2249.94,0.79,0,0.0,0.08,0.41,0.68,-1.0,0.33
C467,CMP16,Mobile,TP011,2024-04-17 13:13:00,Retention,835,4,40,0.38,-0.95,0.634,0.31,Mobile,5,2096.05,6.13,1,381.41,0.01,0.26,0.29,67.71,0.28
C215,CMP10,Web,TP012,2024-04-28 00:34:00,Conversion,505,1,48,0.45,-0.04,0.287,0.608,Tablet,8,1888.57,5.79,0,0.0,0.7,0.85,0.53,-1.0,0.58
